wall_time	run_id	pid	env_id	episode	episode_step	sofa_step	action_rot	action_ins	rotation_cmd_deg	rotation_cmd_rad	guide_rotation_speed_cmd	guide_speed_cmd	cath_speed_cmd
1772814535.393746	modello_no_centerline	198125	0	1	1	53	0.847257376	0.153270006	30.5012655	0.532347509	5.32347509	10	-10
1772814536.558669	modello_no_centerline	198125	0	1	2	73	0.0916614532	0.443518281	3.29981232	0.0575925896	0.575925896	10	-10
1772814537.724619	modello_no_centerline	198125	0	1	3	93	-0.18419975	0.981338024	-6.63119102	-0.115736117	-1.15736117	10	-0.0232394576
1772814538.895170	modello_no_centerline	198125	0	1	4	113	0.278187275	0.997904539	10.0147419	0.17479022	1.7479022	10	4.04626407
1772814540.066601	modello_no_centerline	198125	0	1	5	133	-0.0625514984	0.997339368	-2.25185394	-0.0393022656	-0.393022656	10	5.47818093
1772814541.217585	modello_no_centerline	198125	0	1	6	153	0.107927799	0.998484135	3.88540077	0.0678130362	0.678130362	10	6.72311238
1772814542.372451	modello_no_centerline	198125	0	1	7	173	-0.0536450148	0.997890711	-1.93122053	-0.0337061569	-0.337061569	10	7.4829919
1772814543.532760	modello_no_centerline	198125	0	1	8	193	-0.00412511826	0.998140574	-0.148504257	-0.00259188824	-0.0259188824	10	8.13723019
1772814544.705670	modello_no_centerline	198125	0	1	9	213	-0.0123947263	0.997346163	-0.446210146	-0.0077878362	-0.077878362	10	8.52348157
1772814545.879935	modello_no_centerline	198125	0	1	10	233	-0.0488165617	0.997409225	-1.75739622	-0.0306723503	-0.306723503	10	8.89891735
1772814547.057950	modello_no_centerline	198125	0	1	11	253	-0.12149179	0.997630119	-4.37370443	-0.0763355429	-0.763355429	10	9.19627749
1772814548.219642	modello_no_centerline	198125	0	1	12	273	-0.197384238	0.99768889	-7.10583258	-0.124020175	-1.24020175	10	9.40308514
1772814549.385955	modello_no_centerline	198125	0	1	13	293	0.0653347969	0.968039632	2.35205269	0.0410510636	0.410510636	10	6.58738809
1772814550.554036	modello_no_centerline	198125	0	1	14	313	0.258284807	0.97900176	9.29825306	0.162285131	1.62285131	10	8.53675393
1772814551.735995	modello_no_centerline	198125	0	1	15	333	0.192153096	0.97817874	6.91751146	0.120733351	1.20733351	10	8.82026335
1772814552.910419	modello_no_centerline	198125	0	1	16	353	0.308629513	0.981184244	11.1106625	0.193917642	1.93917642	10	9.41574798
1772814554.084399	modello_no_centerline	198125	0	1	17	373	-0.728752136	0.988147736	-26.2350769	-0.457888471	-4.57888471	10	10.2581601
1772814555.248658	modello_no_centerline	198125	0	1	18	393	0.974295139	0.999298573	35.074625	0.61216769	6.1216769	10	11.3087038
1772814556.404712	modello_no_centerline	198125	0	1	19	413	-0.697489023	0.993217468	-25.1096048	-0.438245278	-4.38245278	10	10.3734174
1772814557.578453	modello_no_centerline	198125	0	1	20	433	0.920347452	0.999684572	33.1325083	0.578271359	5.78271359	10	10.9267735
1772814558.739948	modello_no_centerline	198125	0	1	21	453	-0.397948384	0.996181726	-14.3261418	-0.250038344	-2.50038344	10	10.3447955
1772814559.943893	modello_no_centerline	198125	0	1	22	473	-0.970077395	0.991662741	-34.9227862	-0.609517604	-6.09517604	10	9.80669806
1772814561.132450	modello_no_centerline	198125	0	1	23	493	0.786789656	0.965453267	28.3244276	0.49435452	4.9435452	10	7.23407619
1772814562.327018	modello_no_centerline	198125	0	1	24	513	0.493223548	0.362268567	17.7560477	0.309901495	3.09901495	10	-10
1772814563.522399	modello_no_centerline	198125	0	1	25	533	-0.986282289	-0.993527353	-35.5061624	-0.619699439	-6.19699439	10	-10
1772814564.727221	modello_no_centerline	198125	0	1	26	553	0.957267761	-0.887422323	34.4616394	0.601469073	6.01469073	10	-10
1772814565.927542	modello_no_centerline	198125	0	1	27	573	-0.170240164	0.559903264	-6.1286459	-0.10696505	-1.0696505	10	-3.52588863
1772814567.123883	modello_no_centerline	198125	0	1	28	593	-0.951570809	-0.935285866	-34.2565491	-0.597889573	-5.97889573	10	-10
1772814568.319160	modello_no_centerline	198125	0	1	29	613	0.992013454	-0.904824734	35.7124844	0.623300436	6.23300436	10	-10
1772814569.496356	modello_no_centerline	198125	0	1	30	633	-0.106351852	0.709324002	-3.82866669	-0.0668228396	-0.668228396	10	10.6941028
1772814570.670717	modello_no_centerline	198125	0	1	31	653	-0.888139009	0.0235562325	-31.9730043	-0.558034198	-5.58034198	10	-10
1772814571.841675	modello_no_centerline	198125	0	1	32	673	0.862945318	-0.756338716	31.0660315	0.542204534	5.42204534	10	-10
1772814573.008013	modello_no_centerline	198125	0	1	33	693	0.798123479	-0.105450749	28.7324452	0.501475772	5.01475772	10	-10
1772814574.179512	modello_no_centerline	198125	0	1	34	713	-0.892816663	-0.95798552	-32.1413999	-0.560973254	-5.60973254	10	-10
1772814575.352511	modello_no_centerline	198125	0	1	35	733	0.375205755	0.0171388388	13.5074072	0.235748729	2.35748729	10	-7.73958785
1772814576.529472	modello_no_centerline	198125	0	1	36	753	-0.840537786	-0.205831409	-30.2593603	-0.528125467	-5.28125467	10	-10
1772814577.710701	modello_no_centerline	198125	0	1	37	773	0.294283628	0.557218313	10.5942106	0.184903857	1.84903857	10	24.7449052
1772814578.887181	modello_no_centerline	198125	0	1	38	793	-0.758421719	0.324761987	-27.3031819	-0.47653042	-4.7653042	10	-0.437390755
1772814580.073475	modello_no_centerline	198125	0	1	39	813	-0.49981153	0.902596235	-17.9932151	-0.314040846	-3.14040846	10	50
1772814581.256262	modello_no_centerline	198125	0	1	40	833	-0.848220408	0.840329409	-30.5359347	-0.5329526	-5.329526	10	41.9791361
1772814582.445190	modello_no_centerline	198125	0	1	41	853	-0.563894093	0.800802112	-20.3001873	-0.354305108	-3.54305108	10	30.0316224
1772814583.627479	modello_no_centerline	198125	0	1	42	873	0.259942174	0.831620812	9.35791826	0.163326485	1.63326485	10	28.1055869
1772814584.823377	modello_no_centerline	198125	0	1	43	893	-0.227073789	0.874149084	-8.17465639	-0.142674669	-1.42674669	10	27.8320173
1772814586.018971	modello_no_centerline	198125	0	1	44	913	-0.152727783	0.935667157	-5.49820018	-0.095961696	-0.95961696	10	29.5258203
1772814587.208674	modello_no_centerline	198125	0	1	45	933	-0.20620203	0.944484353	-7.42327309	-0.129560557	-1.29560557	10	25.5260848
1772814588.407187	modello_no_centerline	198125	0	1	46	953	0.00645875931	0.959259868	0.232515335	0.00405815816	0.0405815816	10	23.1221151
1772814589.600994	modello_no_centerline	198125	0	1	47	973	0.0454568863	0.965246201	1.63644791	0.028561404	0.28561404	10	20.4402196
1772814590.789746	modello_no_centerline	198125	0	1	48	993	0.136052132	0.974102736	4.89787674	0.0854840755	0.854840755	10	18.7158182
1772814591.981041	modello_no_centerline	198125	0	1	49	1013	0.0912091732	0.98012948	3.28353024	0.0573084137	0.573084137	10	17.1395381
1772814593.181876	modello_no_centerline	198125	0	1	50	1033	0.188904643	0.985477209	6.80056715	0.118692288	1.18692288	10	15.8894265
1772814594.386820	modello_no_centerline	198125	0	1	51	1053	0.0785770416	0.986860752	2.8287735	0.0493714113	0.493714113	10	14.5554242
1772814595.595083	modello_no_centerline	198125	0	1	52	1073	0.233466148	0.99186933	8.40478134	0.146691107	1.46691107	10	13.9174259
1772814596.789454	modello_no_centerline	198125	0	1	53	1093	0.110096931	0.990851164	3.96348953	0.0691759422	0.691759422	10	12.8362528
1772814597.998527	modello_no_centerline	198125	0	1	54	1113	0.191856027	0.994651318	6.90681696	0.120546697	1.20546697	10	12.507205
1772814599.199709	modello_no_centerline	198125	0	1	55	1133	0.132922292	0.991873741	4.7852025	0.0835175391	0.835175391	10	11.6026461
1772814600.396254	modello_no_centerline	198125	0	1	56	1153	0.253391981	0.993979216	9.12211132	0.159210877	1.59210877	10	11.412532
1772814601.593717	modello_no_centerline	198125	0	1	57	1173	0.0789159536	0.992757797	2.84097433	0.049584356	0.49584356	10	10.9372572
1772814602.806548	modello_no_centerline	198125	0	1	58	1193	0.309430838	0.996346474	11.1395102	0.194421129	1.94421129	10	11.0618105
1772814604.011429	modello_no_centerline	198125	0	1	59	1213	0.306776285	0.995743275	11.0439463	0.192753225	1.92753225	10	10.736038
1772814605.220783	modello_no_centerline	198125	0	1	60	1233	0.570752263	0.997895002	20.5470815	0.358614223	3.58614223	10	10.7672013
1772814606.446253	modello_no_centerline	198125	0	1	61	1253	0.835330963	0.997991085	30.0719147	0.524853923	5.24853923	10	10.5850092
1772814607.661843	modello_no_centerline	198125	0	1	62	1273	0.893516302	0.994083166	32.1665869	0.56141285	5.6141285	10	10.047965
1772814608.868972	modello_no_centerline	198125	0	1	63	1293	0.212472677	0.941767812	7.64901638	0.13350052	1.3350052	10	4.80443833
1772814610.075006	modello_no_centerline	198125	0	1	64	1313	0.249700308	0.972890854	8.98921108	0.156891331	1.56891331	10	9.21563296
1772814611.312446	modello_no_centerline	198125	0	1	65	1333	0.315717101	0.956713915	11.3658156	0.198370905	1.98370905	10	7.79403082
1772814612.531625	modello_no_centerline	198125	0	1	66	1353	-0.204244137	0.962268472	-7.35278893	-0.128330376	-1.28330376	10	8.9009788
1772814613.747027	modello_no_centerline	198125	0	1	67	1373	0.138938189	0.964657664	5.00177479	0.0872974385	0.872974385	10	9.41465336
1772814614.974585	modello_no_centerline	198125	0	1	68	1393	0.104521394	0.962623119	3.76277018	0.0656727286	0.656727286	10	9.35753552
1772814616.241846	modello_no_centerline	198125	0	1	69	1413	-0.20461762	0.973282337	-7.3662343	-0.128565042	-1.28565042	10	10.5840734
1772814617.496300	modello_no_centerline	198125	0	1	70	1433	0.0755662918	0.969191194	2.72038651	0.0474797014	0.474797014	10	10.0289407
