wall_time	run_id	pid	env_id	episode	episode_step	sofa_step	action_rot	action_ins	rotation_cmd_deg	rotation_cmd_rad	guide_rotation_speed_cmd	guide_speed_cmd	cath_speed_cmd
1772211841.807080	modello_129	327745	0	1	1	53	-0.730088592	0.322611809	-26.2831893	-0.458728191	-4.58728191	10	-4.04374295
1772211842.079172	modello_129	327745	0	1	2	73	-0.842355967	0.348562837	-30.3248148	-0.529267863	-5.29267863	10	-0.0235182941
1772211842.353272	modello_129	327745	0	1	3	93	-0.403744459	0.727693439	-14.5348005	-0.253680125	-2.53680125	10	9.92279934
1772211842.628591	modello_129	327745	0	1	4	113	-0.40531981	0.709555864	-14.5915132	-0.254669947	-2.54669947	10	9.58614961
1772211842.907301	modello_129	327745	0	1	5	133	-0.13412559	0.820384979	-4.82852125	-0.0842735938	-0.842735938	10	11.8646336
1772211843.188717	modello_129	327745	0	1	6	153	-0.00771135092	0.639236212	-0.277608633	-0.00484518468	-0.0484518468	10	7.84343063
1772211843.472378	modello_129	327745	0	1	7	173	0.0111302137	0.730412245	0.400687695	0.00699331954	0.0699331954	10	10.1719026
1772211843.758287	modello_129	327745	0	1	8	193	-0.0635812283	0.902455688	-2.28892422	-0.0399492639	-0.399492639	10	13.5052795
1772211844.050029	modello_129	327745	0	1	9	213	-0.030353725	0.945790529	-1.0927341	-0.0190718079	-0.190718079	10	13.4794059
1772211844.342839	modello_129	327745	0	1	10	233	-0.417547703	0.654398918	-15.0317173	-0.262352959	-2.62352959	10	6.89099407
1772211844.638644	modello_129	327745	0	1	11	253	-0.578361869	0.176295042	-20.8210273	-0.36339548	-3.6339548	10	-1.71454302
1772211844.936478	modello_129	327745	0	1	12	273	-0.152748942	0.300457001	-5.49896193	-0.095974991	-0.95974991	10	3.65077118
1772211845.236843	modello_129	327745	0	1	13	293	0.0286163092	0.299306631	1.03018713	0.0179801573	0.179801573	10	5.21550238
1772211845.540748	modello_129	327745	0	1	14	313	0.517146349	0.391158462	18.6172686	0.324932634	3.24932634	10	8.21421896
1772211845.848953	modello_129	327745	0	1	15	333	-0.0339334607	0.576332808	-1.22160459	-0.0213210222	-0.213210222	10	12.2947108
1772211846.158748	modello_129	327745	0	1	16	353	0.484583259	0.146160364	17.4449973	0.304472641	3.04472641	10	3.27889887
1772211846.470401	modello_129	327745	0	1	17	373	-0.215363383	0.311850071	-7.7530818	-0.135316805	-1.35316805	10	8.21083465
1772211846.784931	modello_129	327745	0	1	18	393	0.305135965	-0.221953154	10.9848948	0.191722581	1.91722581	10	-1.8177623
1772211847.103021	modello_129	327745	0	1	19	413	-0.287633836	0.0174965858	-10.3548181	-0.180725669	-1.80725669	10	5.83587941
1772211847.427476	modello_129	327745	0	1	20	433	-0.0797026157	-0.175618887	-2.86929417	-0.0500786304	-0.500786304	10	3.08701841
1772211847.754418	modello_129	327745	0	1	21	453	0.00897824764	-0.136975884	0.323216915	0.00564119937	0.0564119937	10	5.57363273
1772211848.086099	modello_129	327745	0	1	22	473	0.0676976442	-0.164224744	2.43711519	0.0425356844	0.425356844	10	6.14546568
1772211848.417754	modello_129	327745	0	1	23	493	0.085418582	-0.190692306	3.07506895	0.0536700779	0.536700779	10	6.58967336
1772211848.747718	modello_129	327745	0	1	24	513	0.0967121124	-0.32491231	3.48163605	0.0607660124	0.607660124	10	4.80818744
1772211849.076238	modello_129	327745	0	1	25	533	0.00620818138	-0.404113352	0.22349453	0.0039007154	0.039007154	10	4.55182012
1772211849.405926	modello_129	327745	0	1	26	553	-0.00801682472	-0.454867482	-0.28860569	-0.00503711953	-0.0503711953	10	4.91781529
1772211849.735895	modello_129	327745	0	1	27	573	-0.0103337765	-0.495297194	-0.372015953	-0.00649290325	-0.0649290325	10	5.39492838
1772211850.067872	modello_129	327745	0	1	28	593	0.00170552731	-0.54057616	0.061398983	0.00107161441	0.0107161441	10	5.65759657
1772211850.401108	modello_129	327745	0	1	29	613	-0.0207054019	-0.591150582	-0.745394468	-0.0130095877	-0.130095877	10	5.7506744
1772211850.735422	modello_129	327745	0	1	30	633	-0.000830352306	-0.682748199	-0.029892683	-0.000521725741	-0.00521725741	10	5.01540257
1772211851.072660	modello_129	327745	0	1	31	653	0.271288991	0.930289984	9.76640368	0.1704559	1.704559	10	37.9174263
1772211851.410653	modello_129	327745	0	1	32	673	0.125316143	0.855424404	4.51138115	0.0787384549	0.787384549	10	29.4688327
1772211851.751296	modello_129	327745	0	1	33	693	-0.183297873	0.972393632	-6.59872341	-0.11516945	-1.1516945	10	26.8971456
1772211852.099965	modello_129	327745	0	1	34	713	-0.0922760963	0.931418657	-3.32193947	-0.0579787813	-0.579787813	10	21.8687253
1772211852.449274	modello_129	327745	0	1	35	733	0.114302874	0.496623755	4.11490345	0.0718186136	0.718186136	10	10.368694
1772211852.802283	modello_129	327745	0	1	36	753	0.0541502237	-0.781693161	1.94940805	0.034023589	0.34023589	10	-14.8104489
1772211853.155572	modello_129	327745	0	1	37	773	-0.0125831962	-0.871253312	-0.452995062	-0.00790625532	-0.0790625532	10	-10.3654547
1772211853.508695	modello_129	327745	0	1	38	793	-0.298577487	-0.894880712	-10.7487895	-0.187601768	-1.87601768	10	-5.73777873
1772211853.862057	modello_129	327745	0	1	39	813	0.0546160936	-0.183284163	1.96617937	0.0343163037	0.343163037	10	12.1617482
