dt device_translation_speed_cmd device_rotation_speed_cmd 
0.100000000 1.999984831 -0.011108855
0.100000000 1.999984831 -0.011108855
0.100000000 1.999985427 0.009563482
0.100000000 1.999985427 0.009563482
0.100000000 1.999986470 0.005373225
0.100000000 1.999986470 0.005373225
0.100000000 1.999986172 -0.006047520
0.100000000 1.999986172 -0.006047520
0.100000000 1.999986768 0.003374570
0.100000000 1.999986768 0.003374570
0.100000000 1.999986172 -0.010530335
0.100000000 1.999986172 -0.010530335
0.100000000 1.999986172 -0.007488271
0.100000000 1.999986172 -0.007488271
0.100000000 1.999986172 -0.004794323
0.100000000 1.999986172 -0.004794323
0.100000000 1.999986172 -0.002888525
0.100000000 1.999986172 -0.002888525
0.100000000 1.999986172 -0.000632361
0.100000000 1.999986172 -0.000632361
0.100000000 1.999996901 0.003651155
0.100000000 1.999996901 0.003651155
0.100000000 1.999998093 -0.000428744
0.100000000 1.999998093 -0.000428744
0.100000000 1.999998093 0.000029833
0.100000000 1.999998093 0.000029833
0.100000000 1.999998093 -0.000101284
0.100000000 1.999998093 -0.000101284
0.100000000 1.999998093 -0.000217592
0.100000000 1.999998093 -0.000217592
0.100000000 1.999998093 -0.015574312
0.100000000 1.999998093 -0.015574312
0.100000000 1.999995708 0.008241939
0.100000000 1.999995708 0.008241939
0.100000000 1.999998093 0.000573180
0.100000000 1.999998093 0.000573180
0.100000000 1.999998093 -0.003544316
0.100000000 1.999998093 -0.003544316
0.100000000 1.999998093 0.000735698
0.100000000 1.999998093 0.000735698
0.100000000 1.999998093 0.000534665
0.100000000 1.999998093 0.000534665
0.100000000 1.999998093 -0.000976739
0.100000000 1.999998093 -0.000976739
0.100000000 1.999998093 0.000243050
0.100000000 1.999998093 0.000243050
0.100000000 1.999998093 -0.000340226
0.100000000 1.999998093 -0.000340226
0.100000000 1.999998093 0.007983691
0.100000000 1.999998093 0.007983691
0.100000000 1.999998093 -0.005210307
0.100000000 1.999998093 -0.005210307
0.100000000 1.999998093 0.002948656
0.100000000 1.999998093 0.002948656
0.100000000 1.999998093 -0.000545804
0.100000000 1.999998093 -0.000545804
0.100000000 1.999998093 -0.001161587
0.100000000 1.999998093 -0.001161587
0.100000000 1.999998093 0.000134881
0.100000000 1.999998093 0.000134881
0.100000000 1.999998093 0.000011907
0.100000000 1.999998093 0.000011907
0.100000000 1.999998093 -0.000319153
0.100000000 1.999998093 -0.000319153
0.100000000 1.999998093 -0.000335814
0.100000000 1.999998093 -0.000335814
0.100000000 1.999998093 -0.000272689
0.100000000 1.999998093 -0.000272689
0.100000000 1.999998093 -0.006096447
0.100000000 1.999998093 -0.006096447
0.100000000 1.999998093 0.002169823
0.100000000 1.999998093 0.002169823
0.100000000 1.999998093 0.001127773
0.100000000 1.999998093 0.001127773
0.100000000 1.924996376 0.015262378
0.100000000 1.924996376 0.015262378
0.100000000 1.999998093 -0.012848641
0.100000000 1.999998093 -0.012848641
0.100000000 1.999998093 -0.000549685
0.100000000 1.999998093 -0.000549685
0.100000000 1.999955177 0.005895069
0.100000000 1.999955177 0.005895069
0.100000000 1.999950409 0.000448579
0.100000000 1.999950409 0.000448579
0.100000000 1.999950409 -0.001931570
0.100000000 1.999950409 -0.001931570
0.100000000 1.999950409 -0.000093908
0.100000000 1.999950409 -0.000093908
0.100000000 1.999950409 0.000660494
0.100000000 1.999950409 0.000660494
0.100000000 1.999950409 -0.000754937
0.100000000 1.999950409 -0.000754937
0.100000000 1.999950409 -0.002373646
0.100000000 1.999950409 -0.002373646
0.100000000 1.999950409 -0.001740104
0.100000000 1.999950409 -0.001740104
0.100000000 1.999950409 0.000307739
0.100000000 1.999950409 0.000307739
0.100000000 1.999950409 0.001030797
0.100000000 1.999950409 0.001030797
0.100000000 1.999950409 0.000300028
0.100000000 1.999950409 0.000300028
0.100000000 1.999950409 0.001012427
0.100000000 1.999950409 0.001012427
0.100000000 1.999950409 0.002867400
0.100000000 1.999950409 0.002867400
0.100000000 1.999950409 0.003499237
0.100000000 1.999950409 0.003499237
0.100000000 1.999950409 0.002292473
0.100000000 1.999950409 0.002292473
0.100000000 1.999950409 -0.000226769
0.100000000 1.999950409 -0.000226769
0.100000000 1.999950409 -0.002094852
0.100000000 1.999950409 -0.002094852
0.100000000 1.999950409 -0.000636261
0.100000000 1.999950409 -0.000636261
0.100000000 1.999950409 0.014646716
0.100000000 1.999950409 0.014646716
0.100000000 1.999950409 0.003337393
0.100000000 1.999950409 0.003337393
0.100000000 1.999950409 -0.002443863
0.100000000 1.999950409 -0.002443863
0.100000000 1.999950409 -0.000404593
0.100000000 1.999950409 -0.000404593
0.100000000 1.999950409 -0.000358828
0.100000000 1.999950409 -0.000358828
0.100000000 1.999950409 -0.003066602
0.100000000 1.999950409 -0.003066602
0.100000000 1.999950409 -0.003645808
0.100000000 1.999950409 -0.003645808
0.100000000 1.999950409 0.013169015
0.100000000 1.999950409 0.013169015
0.100000000 1.999950409 -0.000287751
0.100000000 1.999950409 -0.000287751
0.100000000 1.999950409 -0.002365439
0.100000000 1.999950409 -0.002365439
0.100000000 1.999950409 -0.007017865
0.100000000 1.999950409 -0.007017865
0.100000000 1.999950409 -0.007153953
0.100000000 1.999950409 -0.007153953
0.100000000 1.999950409 -0.001627159
0.100000000 1.999950409 -0.001627159
0.100000000 1.999950409 0.002309257
0.100000000 1.999950409 0.002309257
0.100000000 1.999950409 0.003951745
0.100000000 1.999950409 0.003951745
0.100000000 1.999950409 0.006982044
0.100000000 1.999950409 0.006982044
0.100000000 1.999950409 0.006344732
0.100000000 1.999950409 0.006344732
0.100000000 1.999950409 -0.001370548
0.100000000 1.999950409 -0.001370548
0.100000000 1.999950409 -0.007390948
0.100000000 1.999950409 -0.007390948
0.100000000 1.999950409 -0.003599505
0.100000000 1.999950409 -0.003599505
0.100000000 1.999950409 0.011790345
0.100000000 1.999950409 0.011790345
0.100000000 1.999950409 0.007694480
0.100000000 1.999950409 0.007694480
0.100000000 2.000036240 0.000921133
0.100000000 2.000036240 0.000921133
0.100000000 2.000045776 0.010896630
0.100000000 2.000045776 0.010896630
0.100000000 2.000045776 -0.016625059
0.100000000 2.000045776 -0.016625059
0.100000000 2.000045776 0.003005787
0.100000000 2.000045776 0.003005787
0.100000000 2.000045776 -0.004044848
0.100000000 2.000045776 -0.004044848
0.100000000 2.000045776 -0.000150174
0.100000000 2.000045776 -0.000150174
0.100000000 2.000045776 0.012006953
0.100000000 2.000045776 0.012006953
0.100000000 2.000045776 0.008764794
0.100000000 2.000045776 0.008764794
0.100000000 2.000045776 -0.002766887
0.100000000 2.000045776 -0.002766887
0.100000000 2.000045776 -0.006003358
0.100000000 2.000045776 -0.006003358
0.100000000 2.000045776 -0.000002795
0.100000000 2.000045776 -0.000002795
0.100000000 2.000045776 0.004225454
0.100000000 2.000045776 0.004225454
0.100000000 2.000045776 0.005068925
0.100000000 2.000045776 0.005068925
0.100000000 2.000045776 0.008480826
0.100000000 2.000045776 0.008480826
0.100000000 2.000045776 0.005963780
0.100000000 2.000045776 0.005963780
0.100000000 2.000045776 -0.003483084
0.100000000 2.000045776 -0.003483084
0.100000000 2.000045776 -0.010092400
0.100000000 2.000045776 -0.010092400
0.100000000 2.000045776 -0.008581501
0.100000000 2.000045776 -0.008581501
0.100000000 2.000045776 -0.006111075
0.100000000 2.000045776 -0.006111075
0.100000000 2.000045776 -0.005108870
0.100000000 2.000045776 -0.005108870
0.100000000 2.000045776 -0.004666187
0.100000000 2.000045776 -0.004666187
0.100000000 2.000045776 -0.004314608
0.100000000 2.000045776 -0.004314608
0.100000000 2.000045776 0.000961967
0.100000000 2.000045776 0.000961967
0.100000000 2.000045776 0.012033620
0.100000000 2.000045776 0.012033620
0.100000000 2.000045776 0.014373227
0.100000000 2.000045776 0.014373227
0.100000000 2.000045776 0.022908840
0.100000000 2.000045776 0.022908840
0.100000000 2.000045776 -0.017594143
0.100000000 2.000045776 -0.017594143
0.100000000 2.000045776 -0.003846034
0.100000000 2.000045776 -0.003846034
0.100000000 2.000045776 -0.006703018
